Date;open;high;low;close;volume;
04/06/2021;3924250000000,00;3924250000000,00;3571770000000,00;3689440000000,00;41831090186.61;
03/06/2021;3759940000000,00;3947900000000,00;3724400000000,00;3920880000000,00;35460750427.01;
02/06/2021;3669990000000,00;382313000000,00;3596630000000,00;3757520000000,00;33070867189.76;
01/06/2021;3729380000000,00;3789670000000,00;3578710000000,00;3668490000000,00;34639423297.36;
31/05/2021;3565860000000,00;3746820000000,00;3424190000000,00;3733290000000,00;39009847639.28;
30/05/2021;3460740000000,00;3640070000000,00;3352070000000,00;3567810000000,00;31646080921.32;
29/05/2021;356842000000,00;3723450000000,00;3369390000000,00;3461610000000,00;45231013334.6;
28/05/2021;3850710000000,00;3885700000000,00;347790000000,00;3569760000000,00;55200191951.77;
27/05/2021;3931690000000,00;4037960000000,00;3724790000000,00;3843700000000,00;43210968720.58;
26/05/2021;3839260000000,00;4078210000000,00;379058000000,00;3929420000000,00;51346735160.35;
25/05/2021;387958000000,00;3977630000000,00;3658140000000,00;3840220000000,00;56211915803.14;
24/05/2021;34700363568,00;3983510000000,00;3455110000000,00;3870600000000,00;67359584098.36;
23/05/2021;375314000000,00;3828920000000,00;3122730000000,00;3477060000000,00;78469274360.73;
22/05/2021;3737100000000,00;3883110000000,00;3538370000000,00;3753660000000,00;57377273240.44;
21/05/2021;4059690000000,00;4217220000000,00;3361650000000,00;3730470000000,00;82051616861.13;
20/05/2021;3675370000000,00;4246300000000,00;3505060000000,00;4078270000000,00;88281943358.63;
19/05/2021;4294500000000,00;435461000000,00;3068150000000,00;370024000000,00;126358098746.69;
18/05/2021;4348810000000,00;4581250000000,00;4236780000000,00;4290940000000,00;56187365083.94;
17/05/2021;4641590000000,00;4662360000000,00;4220730000000,00;4353750000000,00;74903638449.84;
16/05/2021;4671660000000,00;4972000000000,00;4396340000000,00;4645610000000,00;64047871555,00;
15/05/2021;4985550000000,00;5063970000000,00;46664141871,00;4676020000000,00;59161047474.43;
14/05/2021;496830000000,00;5143810000000,00;4886860000000,00;4988050000000,00;55737497452.61;
13/05/2021;4973540000000,00;5133080000000,00;4698000000000,00;4971620000000,00;96721152925.69;
12/05/2021;5671450000000,00;5793940000000,00;4915050000000,00;4915050000000,00;75215403906.65;
11/05/2021;5584720000000,00;5687250000000,00;5460870000000,00;567046000000,00;61308396325.32;
10/05/2021;5825090000000,00;5951940000000,00;5407150000000,00;5585980000000,00;71776546298.3;
09/05/2021;588774000000,00;5921090000000,00;5648200000000,00;582323000000,00;65906690347.3;
08/05/2021;573528000000,00;5946460000000,00;5697520000000,00;5880380000000,00;65382980633.81;
07/05/2021;5641400000000,00;5860660000000,00;5532180000000,00;5735640000000,00;68434023376.24;
06/05/2021;5744130000000,00;583633000000,00;5538250000000,00;5639650000000,00;69523285105.78;
05/05/2021;5325220000000,00;5791140000000,00;5296910000000,00;5742400000000,00;69241316746.83;
04/05/2021;5721420000000,00;5721420000000,00;5319140000000,00;5333350000000,00;68564706967.26;
03/05/2021;5662030000000,00;5897330000000,00;5659090000000,00;5720030000000,00;51713139031.03;
02/05/2021;5782590000000,00;5790260000000,00;5614190000000,00;5663110000000,00;38177405335.16;
01/05/2021;5771470000000,00;5844830000000,00;570523000000,00;5782810000000,00;42836427359.73;
30/04/2021;5356870000000,00;5790070000000,00;531296000000,00;5775020000000,00;52395931984.68;
29/04/2021;5485810000000,00;5511580000000,00;5241800000000,00;5355510000000,00;46088929779.74;
28/04/2021;5503660000000,00;5622720000000,00;5388790000000,00;5482470000000,00;48000572954.78;
27/04/2021;5403030000000,00;5541700000000,00;5331920000000,00;5503310000000,00;49448222756.59;
26/04/2021;4907780000000,00;5428800000000,00;4885280000000,00;5402180000000,00;58284039824.62;
25/04/2021;5005280000000,00;5050600000000,00;4715950000000,00;4900430000000,00;46117114240.1;
24/04/2021;5114320000000,00;5116760000000,00;488053000000,00;5005090000000,00;49014494780.62;
23/04/2021;5173980000000,00;5212080000000,00;4771470000000,00;5109370000000,00;86668667320.38;
22/04/2021;5385710000000,00;5541020000000,00;5058380000000,00;5176230000000,00;74798630777.5;
21/04/2021;5647110000000,00;5675800000000,00;536955000000,00;5390610000000,00;54926612465.71;
20/04/2021;5568180000000,00;570622000000,00;5344800000000,00;564730000000,00;67849323955.2;
19/04/2021;561916000000,00;5752010000000,00;5436860000000,00;5572430000000,00;65344865158.77;
18/04/2021;6070190000000,00;6105750000000,00;5282950000000,00;5621620000000,00;97468872758.37;
17/04/2021;6152990000000,00;6257220000000,00;6036140000000,00;6068380000000,00;66138759198.01;
16/04/2021;6325850000000,00;6359470000000,00;6022250000000,00;6157280000000,00;84293007467.97;
15/04/2021;6307520000000,00;6382170000000,00;6220900000000,00;6331400000000,00;60954381579.31;
14/04/2021;6352380000000,00;648631000000,00;6155480000000,00;6310970000000,00;77451779687.04;
13/04/2021;5989000000000,00;6374230000000,00;5987000000000,00;6350350000000,00;69983454361.84;
12/04/2021;6017590000000,00;612530000000,00;5958990000000,00;5989350000000,00;51828688519.48;
11/04/2021;5984620000000,00;6079060000000,00;5928980000000,00;6020500000000,00;46280252580.42;
10/04/2021;5825380000000,00;6127670000000,00;5803870000000,00;5979320000000,00;58238470525.26;
09/04/2021;5832660000000,00;5893700000000,00;5780790000000,00;5824500000000,00;46655208545.71;
08/04/2021;5609990000000,00;5833870000000,00;5587910000000,00;5832400000000,00;53053855641.35;
07/04/2021;5818650000000,00;5873110000000,00;5560400000000,00;5604890000000,00;75645303583.61;
06/04/2021;5917190000000,00;5947960000000,00;5764680000000,00;5819240000000,00;66058027987.88;
05/04/2021;5876090000000,00;598913000000,00;5769480000000,00;5905790000000,00;60706272114.62;
04/04/2021;5760480000000,00;5891370000000,00;5716870000000,00;5875860000000,00;50749662969.7;
03/04/2021;5939740000000,00;6011030000000,00;5760390000000,00;5760390000000,00;59641344483.62;
02/04/2021;5909890000000,00;6026720000000,00;5886930000000,00;593843000000,00;58727860620.12;
01/04/2021;5892660000000,00;595861000000,00;5850530000000,00;5909580000000,00;61669163792.39;
31/03/2021;5893030000000,00;5993000000000,00;5772640000000,00;5891880000000,00;65520826225.39;
30/03/2021;5775010000000,00;5944720000000,00;572516000000,00;589177000000,00;54414116432.02;
29/03/2021;559479000000,00;5834210000000,00;5513930000000,00;5775020000000,00;57625587027.04;
28/03/2021;5597490000000,00;5661030000000,00;5507110000000,00;559507000000,00;47686580917.99;
27/03/2021;5513760000000,00;565682000000,00;5424290000000,00;5597350000000,00;47266542233.37;
26/03/2021;516830000000,00;5513730000000,00;5157990000000,00;5513730000000,00;56652197977.51;
25/03/2021;527267000000,00;5339240000000,00;508566000000,00;517042000000,00;67999812841.02;
24/03/2021;5471050000000,00;5726240000000,00;5251430000000,00;5277430000000,00;70567223786.51;
23/03/2021;5451170000000,00;5598540000000,00;534707000000,00;5473890000000,00;56435023913.75;
22/03/2021;5751790000000,00;5847150000000,00;542882000000,00;5452910000000,00;56521454974.29;
21/03/2021;5830990000000,00;5876790000000,00;5600560000000,00;5752340000000,00;51943414539.37;
20/03/2021;5833230000000,00;600313000000,00;5821330000000,00;5831360000000,00;50361731221.71;
19/03/2021;5785040000000,00;5949840000000,00;5664370000000,00;5834670000000,00;49063873785.5;
18/03/2021;58893078058,00;6011620000000,00;5425360000000,00;5785890000000,00;55746041000.38;
17/03/2021;5682580000000,00;5896980000000,00;5452860000000,00;5887090000000,00;60258313191.17;
16/03/2021;5584080000000,00;5683320000000,00;5355500000000,00;5680490000000,00;59749798598.67;
15/03/2021;592674000000,00;6054100000000,00;5539320000000,00;5590720000000,00;66419369889.68;
14/03/2021;6122110000000,00;6159790000000,00;5930230000000,00;5930230000000,00;43901225563.85;
13/03/2021;5734340000000,00;6168390000000,00;5621800000000,00;6124310000000,00;60669829814.23;
12/03/2021;5782120000000,00;5799660000000,00;553767000000,00;5733210000000,00;55689944702.29;
11/03/2021;5596320000000,00;580911000000,00;5448460000000,00;5780510000000,00;56772343594.84;
10/03/2021;5482400000000,00;5725830000000,00;5329090000000,00;5600850000000,00;57295577613.75;
09/03/2021;5227300000000,00;5482410000000,00;5198180000000,00;5482410000000,00;50912227384.88;
08/03/2021;511741000000,00;5231410000000,00;4950610000000,00;5224650000000,00;48597428048.17;
07/03/2021;489187000000,00;5138440000000,00;489187000000,00;5120670000000,00;43137459377.73;
06/03/2021;4889920000000,00;4914720000000,00;472575000000,00;4891240000000,00;34363564660.53;
05/03/2021;4852700000000,00;4939640000000,00;4654250000000,00;489273000000,00;48625928883.43;
04/03/2021;5052230000000,00;5173510000000,00;4765690000000,00;485612000000,00;52343816679.73;
